comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,3,5,Olmedo,Series,No,,,2.0,3.0,5.0,,49,,High,1,48,6,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,36.0,51.0,244.0,0,135,360,"interfluves on coastal plains, ridges on coastal plains",,0.1599999964237213,,21.0,22.0,23.0,559,610,660,,,,270,300,360,7,s,,,,,,,,1000,1800,2700,,,,,,,,,,,,,,Low,None,0,0,0,0,0,0,D,Low,Low,"Loamy-skeletal, carbonatic, hyperthermic, shallow Petrocalcic Calciustolls",Mollisols,Ustolls,Calciustolls,Petrocalcic Calciustolls,loamy-skeletal,not used,not used,not used,hyperthermic,Ustic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403296,13765562
70,75,92,Annarose,Series,Yes,,,1.0,4.0,5.0,48,55,91,Low,4,86,3,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,75.0,137.0,200.0,0,135,360,ridges on coastal plains,,0.30000001192092896,,21.0,22.0,23.0,560,610,710,,,,275,290,320,3,c,,,,,,10,,2000,3000,4000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Low,Low,"Coarse-loamy, mixed, superactive, hyperthermic Aridic Calciustepts",Inceptisols,Ustepts,Calciustepts,Aridic Calciustepts,coarse-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403297,13765555
3,12,15,Pernitas,Series,No,,,1.0,4.0,5.0,48,55,91,Low,5,56,5,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,75.0,137.0,200.0,0,135,360,interfluves on coastal plains,,0.1599999964237213,,21.0,22.0,23.0,560,610,710,,,,275,290,320,3,c,,,,,,8,,2000,3000,4000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Typic Argiustolls",Mollisols,Ustolls,Argiustolls,Typic Argiustolls,fine-loamy,not used,superactive,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403297,13765556
3,8,12,Benavides,Series,No,,,1.0,4.0,5.0,48,55,91,Low,5,86,3,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,75.0,137.0,200.0,0,135,360,interfluves on coastal plains,,0.1599999964237213,,21.0,22.0,23.0,560,610,710,,,,275,290,320,3,c,,,,,,8,,2000,3000,4000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Aridic Calciustolls",Mollisols,Ustolls,Calciustolls,Aridic Calciustolls,fine-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403297,13765557
2,5,8,Pettus,Series,No,,,1.0,4.0,5.0,48,55,91,Low,3,86,4L,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,75.0,137.0,200.0,0,135,360,hills on coastal plains,,0.23000000417232513,,21.0,22.0,23.0,560,610,710,,,,275,290,320,3,c,,,,,,10,,2000,3000,4000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Low,Moderate,"Loamy-skeletal, carbonatic, hyperthermic Typic Calciustolls",Mollisols,Ustolls,Calciustolls,Typic Calciustolls,loamy-skeletal,not used,not used,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403297,13765558
75,80,90,Tela,Series,Yes,,,0.0,0.5,1.0,30,30,61,Negligible,5,56,5,Class 1,Grass/herbaceous cover,Shrubby rangeland,,No,Well drained,54.900001525878906,152.39999389648438,253.0,0,135,360,drainageways on coastal plains,,0.23000000417232513,,21.100000381469727,22.200000762939453,22.799999237060547,457,559,635,,,,270,300,340,2,w,,2,w,,,3,,2500,4500,6000,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,twelfth edition,,,,,,,N/A,N/A,,,,,2403298,13765653
0,1,4,Unnamed,,No,,hydric,0.0,0.5,1.0,30,30,61,,,,,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,Wooded under natural conditions,Yes,Somewhat poorly drained,54.900001525878906,152.39999389648438,253.0,0,135,360,depressions on drainageways on coastal plains,,,,21.100000381469727,22.200000762939453,22.799999237060547,457,559,635,,,,270,300,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,2403298,13765654
0,6,10,Brennan,Series,No,,,0.0,0.5,1.0,30,30,61,,,,,,,,,No,Well drained,54.900001525878906,152.39999389648438,253.0,0,135,360,terraces on coastal plains,,,,21.100000381469727,22.200000762939453,22.799999237060547,457,559,635,,,,270,300,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine-loamy, mixed, superactive, hyperthermic Aridic Haplustalfs",Alfisols,Ustalfs,Haplustalfs,Aridic Haplustalfs,fine-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,twelfth edition,,,,,,,N/A,N/A,,,,,2403298,13765655
0,1,8,Moglia,Series,No,,,0.0,1.0,2.0,30,61,91,,,,,,,,,No,Well drained,54.900001525878906,152.39999389648438,253.0,0,135,360,low hills on coastal plains,,,,21.100000381469727,22.200000762939453,22.799999237060547,457,559,635,,,,270,300,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine-loamy, mixed, superactive, hyperthermic Aridic Calciustepts",Inceptisols,Ustepts,Calciustepts,Aridic Calciustepts,fine-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,twelfth edition,,,,,,,N/A,N/A,,,,,2403298,13765656
0,2,8,Catarina,Series,No,,,0.0,1.0,2.0,30,61,91,,,,,,,,,No,Moderately well drained,54.900001525878906,152.39999389648438,253.0,0,135,360,ridges on coastal plains,,,,21.100000381469727,22.200000762939453,22.799999237060547,457,559,635,,,,270,300,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, smectitic, hyperthermic Sodic Haplusterts",Vertisols,Usterts,Haplusterts,Sodic Haplusterts,fine,not used,not used,not used,hyperthermic,Aridic (torric),hyperthermic,twelfth edition,,,,,,,N/A,N/A,,,,,2403298,13765657
