comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458142,13143842
,5,,Cortina,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458142,13143843
,85,,Arbuckle,Series,Yes,MAP12-16,,15.0,20.0,25.0,,,,High,5,48,6,,,,,No,Well drained,30.0,259.0,488.0,23,68,113,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,4,e,,4,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,51,,,,,,N/A,N/A,,,,,458143,13143844
,5,,Perkins,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458143,13143845
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458143,13143846
,5,,Cortina,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458143,13143847
,85,,Arbuckle,Series,Yes,MAP12-16,,2.0,14.0,25.0,,,,High,5,48,6,,,,,No,Well drained,30.0,259.0,488.0,203,293,338,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,6,e,,,,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,25,,,,,,N/A,N/A,,,,,458144,13143848
,5,,Unnamed,,No,,,,,,,,,,,,,,,,Neither wooded nor farmable under natural conditions,Yes,,,,,,,,drainageways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458144,13143849
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458144,13143850
,5,,Cortina,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458144,13143851
,85,,Arbuckle,Series,Yes,MAP12-16,,2.0,5.0,8.0,,,,Medium,5,48,6,,,,,No,Well drained,30.0,259.0,488.0,338,0,23,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,3,e,,2,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,64,,,,,,N/A,N/A,,,,,458145,13143852
